Solution,Source,Destination,Item 1,Item 2,Item 3
24,C2,D8,135.0,118.0,110.0
25,A1,B3,230.0,210.0,150.0
25,A2,B1,131.0,187.0,107.0
25,A2,B3,39.0,3.0,143.0
25,B1,C1,131.0,187.0,107.0
25,B3,C2,269.0,213.0,293.0
25,C1,D1,19.0,20.0,20.0
25,C1,D2,28.0,30.0,10.0
25,C1,D3,4.0,12.0,5.0
25,C1,D4,17.0,76.0,9.0
25,C1,D5,8.0,3.0,5.0
25,C1,D6,48.0,24.0,52.0
25,C1,D7,2.0,11.0,6.0
25,C1,D8,5.0,11.0,0.0
25,C2,D1,18.0,14.0,16.0
25,C2,D2,22.0,16.0,10.0
25,C2,D3,32.0,13.0,85.0
25,C2,D4,9.0,22.0,7.0
25,C2,D5,10.0,4.0,33.0
25,C2,D6,42.0,16.0,28.0
25,C2,D7,1.0,10.0,4.0
25,C2,D8,135.0,118.0,110.0
